key,optionalValue,
"Preserve Extension","Preserve Extension",
"You have not connected an Uwazi instance, yet","You have not connected an Uwazi instance, yet",
"INSTALL the browser extension","INSTALL the browser extension",
"Preserve Setup Description","If you know your Uwazi URL and TOKEN click the link below, and fill the required information.",
"Install browser extension (dynamic link)","Install browser extension (dynamic link)",
"Chrome extension store link","Chrome extension store link",
"Firefox extension store link","Firefox extension store link",
"Configuration","Configuration",
"Extension Token","Extension Token",
"Copy token","Copy token",
"Request token","Request token",
"Some information about the token","Some information about the token",
