key,optionalValue
"Create new entities and upload documents","Create new entities and upload documents"
"Create table of contents","Create table of contents"
"View entities","View entities"
"Edit metadata of entities","Edit metadata of entities"
"Delete entities and documents","Delete entities and documents"
"Share edit access with other users","Share edit access with other users"
"Share entities with the public","Share entities with the public"
"Configure templates","Configure templates"
"Create and edit thesauri","Create and edit thesauri"
"Create relationship types","Create relationship types"
